"variable" "rate" "dilution" "log_dilution" "amendment" "auxo" "strain" "kingdom" "phylum" "class" "order" "family" "genus" "order_abbrev" "strain_amendment" "min_strain" "rate_norm" "max_strain"
"132" "D8" 0.00392899329692972 8.12e-09 -18.6289356827728 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.0724157442127201 0.0496721660003426
"142" "D9" 0.00472998958103926 8.12e-09 -18.6289356827728 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.088541400663941 0.0496721660003426
"152" "D10" 0.00404835517994684 8.12e-09 -18.6289356827728 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.074818737531278 0.0496721660003426
"162" "D11" 0.00391274958670398 8.12e-09 -18.6289356827728 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.0720887258534718 0.0496721660003426
"172" "E8" 0.00158892288194342 8.12e-10 -20.9315207757669 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.0253054487814687 0.0496721660003426
"182" "E9" 0.00125532025526657 8.12e-10 -20.9315207757669 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.0185893610096057 0.0496721660003426
"192" "E10" 0.00119703171130599 8.12e-10 -20.9315207757669 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.0174158960964755 0.0496721660003426
"202" "E11" 0.000700197763298482 8.12e-10 -20.9315207757669 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.00741363551448113 0.0496721660003426
"213" "F8" 0.000798247957843231 8.12e-11 -23.2341058687609 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.00938758194041458 0.0496721660003426
"222" "F9" 0.00110175377822587 8.12e-11 -23.2341058687609 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.0154977608357852 0.0496721660003426
"232" "F10" 0.000908315684533912 8.12e-11 -23.2341058687609 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.0116034653124005 0.0496721660003426
"242" "F11" 0.000691967133061861 8.12e-11 -23.2341058687609 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.0072479364741662 0.0496721660003426
"252" "G8" 0.00085347518889465 8.12e-12 -25.536690961755 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.0104994165048875 0.0496721660003426
"262" "G9" 0.000591717184080087 8.12e-12 -25.536690961755 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.0052297045939401 0.0496721660003426
"272" "G10" 0.000691678718126458 8.12e-12 -25.536690961755 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.00724213010495329 0.0496721660003426
"282" "G11" 0.000625706272368254 8.12e-12 -25.536690961755 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.00591397288793664 0.0496721660003426
"292" "H8" 0.000437000244864627 0 -Inf "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.00211494331668086 0.0496721660003426
"302" "H9" 0.000933264303206278 0 -Inf "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.012105730880449 0.0496721660003426
"313" "H10" 0.000548099320232422 0 -Inf "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.00435158979928098 0.0496721660003426
"322" "H11" 0.00033194642935714 0 -Inf "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0 0.0496721660003426
"114" "A2" 0.288912360154083 8.12e-06 -11.7211804037907 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.846226123371727 0.341674007500822
"214" "A3" 0.323042439601339 8.12e-06 -11.7211804037907 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.946116892637147 0.341674007500822
"314" "A4" 0.310430580924274 8.12e-06 -11.7211804037907 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.909204928600683 0.341674007500822
"48" "A5" 0.256435402582066 8.12e-06 -11.7211804037907 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.751173655642121 0.341674007500822
"53" "B2" 0.242764956682589 8.12e-07 -14.0237654967847 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.711163454106834 0.341674007500822
"63" "B3" 0.341452896830602 8.12e-07 -14.0237654967847 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 1 0.341674007500822
"73" "B4" 0.306250003847011 8.12e-07 -14.0237654967847 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.896969356138376 0.341674007500822
"83" "B5" 0.310706799741494 8.12e-07 -14.0237654967847 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.910013356550003 0.341674007500822
"93" "C2" 0.286674065881716 8.12e-08 -16.3263505897788 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.839675158934195 0.341674007500822
"103" "C3" 0.204616207336886 8.12e-08 -16.3263505897788 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.59951097686766 0.341674007500822
"115" "C4" 0.241041337556831 8.12e-08 -16.3263505897788 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.706118823587921 0.341674007500822
"123" "C5" 0.228578420970527 8.12e-08 -16.3263505897788 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.669642778256103 0.341674007500822
"133" "D2" 0.0148185071360092 8.12e-09 -18.6289356827728 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.04401744784813 0.341674007500822
"143" "D3" 0.0169312028992512 8.12e-09 -18.6289356827728 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.0502008147910687 0.341674007500822
"153" "D4" 0.0205283436909086 8.12e-09 -18.6289356827728 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.0607288055445028 0.341674007500822
"163" "D5" 0.0178942583110403 8.12e-09 -18.6289356827728 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.0530194529978009 0.341674007500822
"173" "E2" -0.00012463844660205 8.12e-10 -20.9315207757669 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.000282351661232246 0.341674007500822
"183" "E3" -0.000108803430003788 8.12e-10 -20.9315207757669 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.000328697055528076 0.341674007500822
"193" "E4" 0.000311709819293493 8.12e-10 -20.9315207757669 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.00155944109828722 0.341674007500822
"203" "E5" 6.01928284554005e-05 8.12e-10 -20.9315207757669 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.000823309624085203 0.341674007500822
"215" "F2" 7.24547996880883e-05 8.12e-11 -23.2341058687609 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.000859197549310707 0.341674007500822
"223" "F3" 0.000197924704892483 8.12e-11 -23.2341058687609 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.00122641865027225 0.341674007500822
"233" "F4" 9.36355811748369e-05 8.12e-11 -23.2341058687609 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.00092118874858769 0.341674007500822
"243" "F5" -8.83448617266458e-05 8.12e-11 -23.2341058687609 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.000388574505459918 0.341674007500822
"253" "G2" -0.000221110670219786 8.12e-12 -25.536690961755 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0 0.341674007500822
"263" "G3" 8.30701847423888e-05 8.12e-12 -25.536690961755 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.00089026630145825 0.341674007500822
"273" "G4" 0.0017887750786091 8.12e-12 -25.536690961755 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.00588246604864741 0.341674007500822
"283" "G5" 0.00167094203775774 8.12e-12 -25.536690961755 "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.00553759626556602 0.341674007500822
"293" "H2" -0.0002075391503634 0 -Inf "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 3.97206681177039e-05 0.341674007500822
"303" "H3" -0.00017204305240317 0 -Inf "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.000143609454449057 0.341674007500822
"315" "H4" -8.18821998919831e-05 0 -Inf "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.000407489206879362 0.341674007500822
"323" "H5" 1.39268623507962e-05 0 -Inf "B3niacin" "B3" "C2R07_2" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus" "Rho" "Rho_C2R07_2_B3niacin" -0.000221110670219786 0.00068789994969113 0.341674007500822
"116" "A1" 0.173922444195601 1.23e-06 -13.6084963885799 "B7" "B7" "5F01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Shimia" "Rho" "Rho_5F01_B7" 0.00190674451005649 1 0.172015699685545
"216" "A2" 0.166744390202599 1.23e-06 -13.6084963885799 "B7" "B7" "5F01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Shimia" "Rho" "Rho_5F01_B7" 0.00190674451005649 0.958270936861438 0.172015699685545
"316" "A3" 0.172607264398322 1.23e-06 -13.6084963885799 "B7" "B7" "5F01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Shimia" "Rho" "Rho_5F01_B7" 0.00190674451005649 0.99235430370784 0.172015699685545
"49" "B1" 0.131095440605681 1.23e-07 -15.911081481574 "B7" "B7" "5F01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Shimia" "Rho" "Rho_5F01_B7" 0.00190674451005649 0.751028518511912 0.172015699685545
"54" "B2" 0.139301979322788 1.23e-07 -15.911081481574 "B7" "B7" "5F01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Shimia" "Rho" "Rho_5F01_B7" 0.00190674451005649 0.79873659825178 0.172015699685545
"64" "B3" 0.15514976067489 1.23e-07 -15.911081481574 "B7" "B7" "5F01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Shimia" "Rho" "Rho_5F01_B7" 0.00190674451005649 0.890866452567826 0.172015699685545
"74" "C1" 0.11787973129202 1.23e-08 -18.213666574568 "B7" "B7" "5F01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Shimia" "Rho" "Rho_5F01_B7" 0.00190674451005649 0.674200011940593 0.172015699685545
"84" "C2" 0.148929252370461 1.23e-08 -18.213666574568 "B7" "B7" "5F01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Shimia" "Rho" "Rho_5F01_B7" 0.00190674451005649 0.854704007420084 0.172015699685545
"94" "C3" 0.149271574556695 1.23e-08 -18.213666574568 "B7" "B7" "5F01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Shimia" "Rho" "Rho_5F01_B7" 0.00190674451005649 0.856694071041368 0.172015699685545
"104" "D1" 0.135101148585522 1.23e-09 -20.5162516675621 "B7" "B7" "5F01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Shimia" "Rho" "Rho_5F01_B7" 0.00190674451005649 0.774315392833057 0.172015699685545
"117" "D2" 0.146776768181438 1.23e-09 -20.5162516675621 "B7" "B7" "5F01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Shimia" "Rho" "Rho_5F01_B7" 0.00190674451005649 0.842190706640225 0.172015699685545
"124" "D3" 0.129009212886311 1.23e-09 -20.5162516675621 "B7" "B7" "5F01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Shimia" "Rho" "Rho_5F01_B7" 0.00190674451005649 0.738900394607038 0.172015699685545
"134" "E1" 0.0763889961828586 1.23e-10 -22.8188367605561 "B7" "B7" "5F01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Shimia" "Rho" "Rho_5F01_B7" 0.00190674451005649 0.43299682417919 0.172015699685545
"144" "E2" 0.0736297267211965 1.23e-10 -22.8188367605561 "B7" "B7" "5F01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Shimia" "Rho" "Rho_5F01_B7" 0.00190674451005649 0.416956024027191 0.172015699685545
"154" "E3" 0.0647659844211666 1.23e-10 -22.8188367605561 "B7" "B7" "5F01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Shimia" "Rho" "Rho_5F01_B7" 0.00190674451005649 0.36542734195786 0.172015699685545
"164" "F1" 0.0210695629067831 1.23e-11 -25.1214218535502 "B7" "B7" "5F01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Shimia" "Rho" "Rho_5F01_B7" 0.00190674451005649 0.111401566437002 0.172015699685545
"174" "F2" 0.0165385265396432 1.23e-11 -25.1214218535502 "B7" "B7" "5F01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Shimia" "Rho" "Rho_5F01_B7" 0.00190674451005649 0.0850607360626648 0.172015699685545
"184" "F3" 0.0147856813991339 1.23e-11 -25.1214218535502 "B7" "B7" "5F01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Shimia" "Rho" "Rho_5F01_B7" 0.00190674451005649 0.0748707060612544 0.172015699685545
"194" "G1" 0.00368071906562261 1.23e-12 -27.4240069465442 "B7" "B7" "5F01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Shimia" "Rho" "Rho_5F01_B7" 0.00190674451005649 0.0103128642258181 0.172015699685545
"204" "G2" 0.00372644315623763 1.23e-12 -27.4240069465442 "B7" "B7" "5F01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Shimia" "Rho" "Rho_5F01_B7" 0.00190674451005649 0.0105786776992313 0.172015699685545
"217" "G3" 0.00342532130108748 1.23e-12 -27.4240069465442 "B7" "B7" "5F01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Shimia" "Rho" "Rho_5F01_B7" 0.00190674451005649 0.00882812902431024 0.172015699685545
"224" "H1" 0.00275117927169178 0 -Inf "B7" "B7" "5F01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Shimia" "Rho" "Rho_5F01_B7" 0.00190674451005649 0.00490905634299061 0.172015699685545
"234" "H2" 0.00262497452066606 0 -Inf "B7" "B7" "5F01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Shimia" "Rho" "Rho_5F01_B7" 0.00190674451005649 0.00417537475894665 0.172015699685545
"244" "H3" 0.00190674451005649 0 -Inf "B7" "B7" "5F01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Shimia" "Rho" "Rho_5F01_B7" 0.00190674451005649 0 0.172015699685545
"118" "A5" 0.0862750057882111 1.23e-06 -13.6084963885799 "B7" "B7" "C2M19" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Colwellia" "Alt" "Alt_C2M19_B7" -0.0016531631567155 0.691038076947652 0.127240700444915
"218" "A6" 0.0884106393308393 1.23e-06 -13.6084963885799 "B7" "B7" "C2M19" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Colwellia" "Alt" "Alt_C2M19_B7" -0.0016531631567155 0.707822278348309 0.127240700444915
"317" "A7" 0.0911296533375777 1.23e-06 -13.6084963885799 "B7" "B7" "C2M19" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Colwellia" "Alt" "Alt_C2M19_B7" -0.0016531631567155 0.729191337126129 0.127240700444915
"410" "B5" 0.0893009196721234 1.23e-07 -15.911081481574 "B7" "B7" "C2M19" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Colwellia" "Alt" "Alt_C2M19_B7" -0.0016531631567155 0.714819098848127 0.127240700444915
"55" "B6" 0.0896473147366911 1.23e-07 -15.911081481574 "B7" "B7" "C2M19" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Colwellia" "Alt" "Alt_C2M19_B7" -0.0016531631567155 0.717541459408517 0.127240700444915
"65" "B7" 0.0894400654526241 1.23e-07 -15.911081481574 "B7" "B7" "C2M19" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Colwellia" "Alt" "Alt_C2M19_B7" -0.0016531631567155 0.7159126623071 0.127240700444915
"75" "C5" 0.0872384084372854 1.23e-08 -18.213666574568 "B7" "B7" "C2M19" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Colwellia" "Alt" "Alt_C2M19_B7" -0.0016531631567155 0.698609574477181 0.127240700444915
"85" "C6" 0.0970681253238139 1.23e-08 -18.213666574568 "B7" "B7" "C2M19" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Colwellia" "Alt" "Alt_C2M19_B7" -0.0016531631567155 0.7758625041778 0.127240700444915
"95" "C7" 0.1255875372882 1.23e-08 -18.213666574568 "B7" "B7" "C2M19" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Colwellia" "Alt" "Alt_C2M19_B7" -0.0016531631567155 1 0.127240700444915
"105" "D5" 0.0877001444896523 1.23e-09 -20.5162516675621 "B7" "B7" "C2M19" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Colwellia" "Alt" "Alt_C2M19_B7" -0.0016531631567155 0.702238413761721 0.127240700444915
"119" "D6" 0.0773271761508122 1.23e-09 -20.5162516675621 "B7" "B7" "C2M19" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Colwellia" "Alt" "Alt_C2M19_B7" -0.0016531631567155 0.620716005424063 0.127240700444915
"125" "D7" 0.0869225173204239 1.23e-09 -20.5162516675621 "B7" "B7" "C2M19" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Colwellia" "Alt" "Alt_C2M19_B7" -0.0016531631567155 0.696126948118187 0.127240700444915
"135" "E5" 0.0193137476688016 1.23e-10 -22.8188367605561 "B7" "B7" "C2M19" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Colwellia" "Alt" "Alt_C2M19_B7" -0.0016531631567155 0.16478147913524 0.127240700444915
"145" "E6" 0.0191456141990268 1.23e-10 -22.8188367605561 "B7" "B7" "C2M19" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Colwellia" "Alt" "Alt_C2M19_B7" -0.0016531631567155 0.16346009793263 0.127240700444915
"155" "E7" 0.0220939487439264 1.23e-10 -22.8188367605561 "B7" "B7" "C2M19" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Colwellia" "Alt" "Alt_C2M19_B7" -0.0016531631567155 0.186631414457848 0.127240700444915
"165" "F5" 0.00297341139444038 1.23e-11 -25.1214218535502 "B7" "B7" "C2M19" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Colwellia" "Alt" "Alt_C2M19_B7" -0.0016531631567155 0.0363608069979055 0.127240700444915
